id;date;description;amount
1;2019-06-11T01:35:37;National Awesome sky blue;4522
2;2019-06-10T16:52:31;navigating;74732
3;2019-06-11T09:25:51;generating compelling;28093
4;2019-06-11T01:22:28;bifurcated scalable;16526
5;2019-06-11T14:09:14;Administrator;77224
6;2019-06-11T06:27:58;24 hour;1407
7;2019-06-10T20:22:20;monitor;72900
8;2019-06-10T20:58:45;Checking Account Identity deposit;91495
9;2019-06-10T19:13:44;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-10T23:57:40;New York tangible Mississippi;38292
