id;name;balance
1;frantically priesthood corporation;5211.44
2;modulo;15243.61
3;quirkily;423.48
4;conceal;21642.4
5;barring strident cannibalise;28597.24
6;while yesterday and;29486.65
7;furiously readily;13788.52
8;drat devil;21521.81
9;sting minister;20344.48
10;sudden pillow;8280.18
11;solemnly pish;22119.79
12;after meanwhile;32155.32
13;mysteriously portly;22598.19
14;regularly collaboration;27661.12
15;er upbeat hierarchy;20997.96
16;abaft scaly;18621.4
17;and ack;6918.35
18;up meh during;5086.7
19;incidentally;20841.32
20;till;25303.95
21;crystallize gee;3995.26
22;tremendously flood while;14735.87
23;opera;32081.65
24;lone commonly incidentally;834.49
25;oh exacerbate;27446.17
26;searchingly austere nor;8549.49
27;both given wry;29535.55
28;even blindly;2369.9
29;indeed;7279.58
30;interestingly midst;4458.8
