id;label
1;wonderfully overheard
2;carp
3;needy
4;upon
5;limp acidly
6;per unique precious
7;including kissingly
8;yum while motionless
9;miskey forenenst
10;inasmuch unfit cautiously
11;over yahoo
12;than pfft prime
13;gosh bah curiously
14;yuppify absent
15;haversack gosh lest
16;fail hmph
17;up napkin
18;drain
19;acquire
20;furlough
21;runny insignificant
22;during until
23;phooey hmph
24;angrily with
25;grumpy ha patiently
26;sympathetically amongst
27;barring nicely given
28;yearly underneath
29;cone hmph underachieve
30;incline
