id;date;description;amount
1;2015-08-05T08:48:38;Mississippi Account Associate;13968
2;2015-08-05T04:22:04;port innovate Persevering;9517
3;2015-08-04T15:35:56;Hawaii Sausages connecting;52157
4;2015-08-04T23:59:53;Optimization Rustic Synergistic;14208
5;2015-08-04T22:10:39;Card Iowa;77596
6;2015-08-05T03:47:20;mesh Rhode Automotive;8019
7;2015-08-05T07:24:14;infrastructures Cambridgeshire GB;67835
8;2015-08-04T19:16:50;Implemented synthesizing program;18655
9;2015-08-04T21:34:28;Generic RAM;43990
10;2015-08-05T07:36:05;Bedfordshire partnerships;13274
